iter	Passed	Remaining
0	137	137122
1	139	69529
2	141	46938
3	142	35605
4	144	28788
5	146	24260
6	148	21047
7	150	18673
8	152	16773
9	154	15333
10	156	14113
11	159	13106
12	161	12294
13	164	11555
14	166	10914
15	168	10345
16	170	9858
17	172	9433
18	175	9072
19	178	8755
20	180	8415
21	182	8118
22	184	7834
23	186	7586
24	188	7358
25	191	7166
26	193	6972
27	195	6798
28	197	6616
29	199	6453
30	201	6305
31	203	6158
32	205	6020
33	206	5877
34	208	5755
35	210	5642
36	212	5541
37	215	5449
38	217	5364
39	219	5270
40	221	5182
41	223	5093
42	225	5018
43	227	4948
44	229	4871
45	231	4799
46	233	4733
47	235	4673
48	237	4612
49	238	4539
50	240	4479
51	242	4423
52	244	4367
53	246	4316
54	248	4264
55	250	4217
56	252	4169
57	253	4122
58	255	4077
59	257	4031
60	258	3984
61	260	3941
62	262	3897
63	263	3854
64	264	3811
65	266	3773
66	268	3733
67	268	3685
68	270	3648
69	271	3613
70	273	3577
71	274	3543
72	276	3508
73	277	3474
74	279	3441
75	280	3410
76	281	3377
77	282	3344
78	284	3312
79	285	3280
80	286	3246
81	287	3215
82	288	3184
83	289	3154
84	290	3122
85	291	3092
86	291	3061
87	292	3035
88	294	3010
89	295	2983
90	295	2956
91	296	2931
92	298	2907
93	299	2883
94	300	2860
95	301	2838
96	302	2816
97	303	2794
98	304	2772
99	305	2750
100	306	2729
101	307	2705
102	308	2684
103	309	2664
104	310	2645
105	311	2626
106	312	2607
107	313	2588
108	314	2570
109	315	2551
110	316	2533
111	317	2516
112	318	2499
113	319	2482
114	320	2466
115	321	2447
116	322	2431
117	323	2416
118	324	2399
119	325	2384
120	326	2369
121	327	2354
122	327	2336
123	328	2321
124	329	2307
125	330	2293
126	331	2280
127	332	2264
128	333	2251
129	334	2239
130	335	2226
131	336	2215
132	338	2204
133	339	2193
134	340	2182
135	341	2172
136	343	2162
137	344	2152
138	345	2141
139	347	2131
140	348	2120
141	349	2110
142	350	2099
143	351	2089
144	352	2079
145	353	2068
146	354	2058
147	355	2049
148	357	2039
149	358	2029
150	359	2020
151	360	2010
152	361	2001
153	362	1993
154	364	1986
155	365	1977
156	366	1969
157	368	1961
158	369	1953
159	370	1946
160	371	1937
161	373	1929
162	374	1921
163	375	1913
164	376	1904
165	377	1896
166	378	1889
167	380	1882
168	381	1875
169	382	1867
170	383	1860
171	384	1852
172	386	1845
173	387	1840
174	389	1834
175	390	1827
176	391	1820
177	392	1813
178	394	1807
179	395	1800
